"";"Var1";"Freq"
"284";"Schlafsaal";28
"285";"Schrecken";28
"286";"übrig";28
"287";"Unterschied";28
"288";"Urteil";28
"289";"Abteilung";27
"290";"Aufmerksamkeit";27
"291";"Besprechung";27
"292";"dunkel";27
"293";"Eil";27
"294";"Entschuldigung";27
"295";"Kaste|Kasten";27
"296";"kaum";27
"297";"Klamms";27
"298";"Lust";27
"299";"Theater";27
"300";"Unglück";27
"301";"Wirkung";27
"302";"Abschied";26
"303";"Akt|Akte";26
"304";"Aussicht";26
"305";"Bürgel";26
"306";"Feind";26
"307";"Gegenteil";26
"308";"Person";26
"309";"Spaß";26
"310";"Verkehr";26
"311";"Vorwurf";26
"312";"Wahrheit";26
"313";"Amt";25
"314";"Anspruch";25
"315";"Aufgabe";25
"316";"Barnabas";25
"317";"Dame";25
"318";"Kleider";25
"319";"Land";25
"320";"Reise";25
"321";"Schrei";25
"322";"Schwierigkeit";25
"323";"Störung";25
"324";"Untersuchung";25
"325";"Verhör";25
"326";"Angestellte";24
"327";"Ankunft";24
"328";"Bett|Betten";24
"329";"Entfernung";24
"330";"Gregor";24
"331";"Italiener";24
"332";"Lehrerin";24
"333";"Oberkassier";24
"334";"Winkel";24
"335";"Burschen";23
"336";"Eintritt";23
"337";"Freispruch";23
"338";"Furcht";23
"339";"Hemd";23
"340";"Interesse";23
"341";"Lachen";23
"342";"Laune";23
"343";"Macht";23
"344";"Mitte";23
"345";"Podium";23
"346";"Portier";23
"347";"Schreiber";23
"348";"Tor";23
"349";"Wasser";23
"350";"Entscheidung";22
"351";"Lampe";22
"352";"Schlag";22
"353";"Stockwerk";22
"354";"Umstand";22
"355";"Anschein";21
"356";"Arbeit|Arbeiten";21
"357";"Bedienerin";21
"358";"Bewußtsein";21
"359";"Beziehung";21
"360";"Frieda";21
"361";"Geheimnis";21
"362";"Katze";21
"363";"Kleinigkeit";21
"364";"Leib";21
"365";"Matrose";21
"366";"Schrift";21
"367";"Sicherheit";21
"368";"Tischchen";21
"369";"tischen";21
"370";"Überlegung";21
"371";"Unterhaltung";21
"372";"ander";20
"373";"Aufenthalt";20
"374";"Auskunft";20
"375";"Blick|Blicken";20
"376";"Dienstmädchen";20
"377";"Fräulein";20
"378";"Fremde";20
"379";"Fußspitzen";20
"380";"Gruppe";20
"381";"Himmel";20
"382";"kommen";20
"383";"Rand";20
"384";"Rat";20
"385";"Tasche";20
"386";"weit";20
"387";"Wendung";20
"388";"Achsel";19
"389";"Bedenken";19
"390";"bekannt";19
"391";"Bestätigung";19
"392";"Einfluß";19
"393";"Führer";19
"394";"Gedränge";19
"395";"Gott";19
"396";"Handbewegung";19
"397";"Liftjunge";19
"398";"Mal";19
"399";"Mitteilung";19
"400";"Nase";19
"401";"Onkels";19
"402";"Protokoll";19
"403";"prozeß";19
"404";"Schule";19
"405";"Stund";19
"406";"Träne";19
"407";"Veränderung";19
"408";"Versuch";19
"409";"Verzweiflung";19
"410";"Vorsicht";19
"411";"Wohnzimmer";19
"412";"Zug";19
"413";"Anwesenheit";18
"414";"Arbeiter";18
"415";"Ausdruck";18
"416";"Bart";18
"417";"Ergebnis";18
"418";"Fäust";18
"419";"gehen";18
"420";"Irrtum";18
"421";"Kandidat";18
"422";"Klient";18
"423";"Knie";18
"424";"Kreis";18
"425";"Laterne";18
"426";"Leid";18
"427";"Mauer";18
"428";"Möbel";18
"429";"Schrank";18
"430";"Schwäche";18
"431";"Stelle|Stellen";18
"432";"Tiefe";18
"433";"Überzeugung";18
"434";"Verhaftung";18
"435";"Verhalten";18
"436";"Vorgesetzte";18
"437";"wichtig";18
"438";"Woche";18
"439";"Zimmerherr";18
"440";"Ausnahme";17
"441";"Besitz";17
"442";"Bier";17
"443";"Botschaft";17
"444";"Einzelheit";17
"445";"Ellboge";17
"446";"Enttäuschung";17
"447";"gering";17
"448";"Graben";17
"449";"Grund|Gründen";17
"450";"Hindernis";17
"451";"Innern";17
"452";"Klinke";17
"453";"Länge";17
"454";"Last";17
"455";"Meldung";17
"456";"Mittel";17
"457";"Mitternacht";17
"458";"Natur";17
"459";"Plakat";17
"460";"Streit";17
"461";"Suppe";17
"462";"Unrecht";17
"463";"Unruhe";17
"464";"Verstand";17
"465";"Wesen";17
"466";"Widerspruch";17
"467";"Zischen";17
"468";"Äußerung";16
"469";"Boot";16
"470";"Falle";16
"471";"Faust";16
"472";"Flur";16
"473";"Freisprechung";16
"474";"Gewalt";16
"475";"Größe";16
"476";"Haufen";16
"477";"Kaffee";16
"478";"Kampf";16
"479";"Kellner";16
"480";"Kollege";16
"481";"Komm";16
"482";"Liebe";16
"483";"Minute";16
"484";"Pferd";16
"485";"Prügler";16
"486";"Pult";16
"487";"Ratschlag";16
"488";"Rauch";16
"489";"Scherz";16
"490";"Schürz";16
"491";"Stoß";16
"492";"Taschen";16
"493";"Ursache";16
"494";"Widerstand";16
"495";"Zeuge";16
"496";"Ahnung";15
"497";"Bambusstöckchen";15
"498";"Beinchen";15
"499";"Beobachtung";15
"500";"Bericht";15
"501";"Chauffeur";15
"502";"falten";15
"503";"Fleisch";15
"504";"Freundlichkeit";15
"505";"Glaube";15
"506";"Haltung";15
"507";"Kenntnis";15
"508";"Kinn";15
"509";"Kutscher";15
"510";"Lift";15
"511";"Messer";15
"512";"Pflegerin";15
"513";"Schaden";15
"514";"Schoß";15
"515";"Schutz";15
"516";"Stock";15
"517";"Strafe";15
"518";"Täuschung";15
